Title,Company,Location,Salary (L),Salary (Employer est.),Salary (Glassdoor est.),min Salary (L),max Salary (L),avg salary (L)
Data Scientist,RedBus,Bengaluru,50,1,0,50,50,50
Data Scientist - Python,Reqroots,Tiruchchirāppalli,0.4 - 0.7,1,0,0.4 , 0.7,0.55
"Data Scientist, Product Analytics",PayPal,Chennai,2 - 3,0,1,2 , 3,2.5
Data Scientist,DataBuzz Ltd,Hyderābād,40,1,0,40,40,40
Data Scientist,Perfios,Bengaluru,2 - 8,0,1,2 , 8,5.0
Data Analyst & Scientist,Siemens Gamesa Renewable Energy,Bengaluru,5 - 9,0,1,5 , 9,7.0
Data Scientist,RamSoft,Bengaluru,6 - 9,0,1,6 , 9,7.5
ML Engineer,SBCS India,Bengaluru,4 - 6,0,1,4 , 6,5.0
Data Scientist (AaaS),SS Supply Chain Solutions,Bengaluru,20 - 35,1,0,20 , 35,27.5
Data Scientist,Infosys,Bengaluru,4 - 9,0,1,4 , 9,6.5
Data Science - Data Scientist,Paytm,New Delhi,2 - 3,0,1,2 , 3,2.5
Artificial Intelligence,AVNI IT Services,Chennai,0.2 - 0.3,1,0,0.2 , 0.3,0.25
Data Scientist - Engineer,Mercedes-Benz Research and Development India Private Limited,Bengaluru,8 - 9,0,1,8 , 9,8.5
Advisory-Management-P Data Scientist,KPMG,Gurgaon,7 - 10,0,1,7 , 10,8.5
Data Science,Infosys,Bengaluru,4 - 9,0,1,4 , 9,6.5
Junior Data Scientist/,WSD Consultant,Bengaluru,5 - 9,0,1,5 , 9,7.0
Data Science Intern,Wahy Lab Solutions,Cochin,0.1 - 0.15,1,0,0.1 , 0.15,0.125
Data Scientist,Mercedes-Benz Research and Development India Private Limited,Bengaluru,8 - 9,0,1,8 , 9,8.5
AI-ML Engineer,Larsen & Toubro Limited,Vadodara,8 - 12,1,0,8 , 12,10.0
Data Scientist,"BSRI Solutions Pvt Ltd.,",Chennai,8 - 15,1,0,8 , 15,11.5
ML Engineer,Pridemate Marketing Pvt Ltd,Bengaluru,9 - 16,1,0,9 , 16,12.5
Data Scientist,Fortive Corporate,Bengaluru,4 - 9,0,1,4 , 9,6.5
AWS Data Scientist - Remote - 30 Lakhs,DataBuzz Ltd,Hyderābād,25,1,0,25,25,25
Associate Data Science,"Definitive Healthcare, India",Bengaluru,4 - 7,0,1,4 , 7,5.5
Data Scientist,SS Supply Chain Solutions,Pune,10 - 35,1,0,10 , 35,22.5
Data Scientist,Harman International,Bengaluru,4 - 8,0,1,4 , 8,6.0
Data Scientist - Intern,Pivotchain Solution Technologies Pvt. Ltd.,Pune,0.15 - 0.2,1,0,0.15 , 0.2,0.175
Data Scientist,ArcVision Technologies,Calcutta,3,1,0,3,3,3
Data Science,EY,Bengaluru,7 - 10,0,1,7 , 10,8.5
Lead Data Scientist,Société Générale,Bengaluru,10,0,1,10,10,10
Data Scientist,Invincible Ocean Private Limited,Gurgaon,4 - 6,1,0,4 , 6,5.0
Data Scientist,PayU,Bengaluru,5 - 7,0,1,5 , 7,6.0
Data Scientist,CoRover,Bengaluru,4 - 9,0,1,4 , 9,6.5
Data Scientist,Thoucentric,Bengaluru,8 - 9,0,1,8 , 9,8.5
Data Scientist,Cyient,Bengaluru,4 - 8,0,1,4 , 8,6.0
Associate/Senior Associate - Data Science,Larsen & Toubro Limited,Chennai,8 - 15,1,0,8 , 15,11.5
Data Scientist,Clarifai,Bengaluru,6 - 9,0,1,6 , 9,7.5
Data Science Intern,LeadsRank LLP,Chandigarh,0.08 - 0.23,1,0,0.08 , 0.23,0.155
Data Science Engineer (0 - 1 Year Experience),Think201,Bengaluru,3 - 5,1,0,3 , 5,4.0
Data Scientist,Ericsson,Bengaluru,4 - 8,0,1,4 , 8,6.0
Data Scientist,Draup,Bengaluru,6 - 8,0,1,6 , 8,7.0
Data Scientist/ Analyst - T9,Mercedes-Benz Research and Development India Private Limited,Bengaluru,8 - 9,0,1,8 , 9,8.5
Data Scientist,BTOSC INFOTECH PRIVATE LIMITED,Noida,0.6 - 1,1,0,0.6 , 1,0.8
Staff Data Scientist - NLP,Visa,Bengaluru,3 - 4,0,1,3 , 4,3.5
Marketing Data Scientist,PayPal,Chennai,2 - 3,0,1,2 , 3,2.5
AI / ML Engineer,Chiplogic Technologies,Bengaluru,4 - 6,0,1,4 , 6,5.0
Data Scientist,Cogneesol BPO,Pune,5 - 9,0,1,5 , 9,7.0
Data Science,Globussoft Technologies,Bengaluru,4,1,0,4,4,4
Data Scientist – (LLM/GPT),FullStackTechies,Bengaluru,20 - 30,1,0,20 , 30,25.0
Data Scientist,Ford Motor Company,Chennai,8 - 9,0,1,8 , 9,8.5
Data Scientist,vlitechnologies,Chennai,8,1,0,8,8,8
Data Scientist,BTOSC INFOTECH PRIVATE LIMITED,Noida,0.6 - 1,1,0,0.6 , 1,0.8
AI / ML Engineer,Chiplogic Technologies,Bengaluru,4 - 6,0,1,4 , 6,5.0
Data Scientist – (LLM/GPT),FullStackTechies,Bengaluru,20 - 30,1,0,20 , 30,25.0
Data Scientist,vlitechnologies,Chennai,8,1,0,8,8,8
Vacancy for Data Scientist,Serendipity Corporate Services,Pune,30,1,0,30,30,30
"Senior Data Scientist ( Only for Immediately Joiner, WFH)",DXC Technology,Bengaluru,30 - 40,1,0,30 , 40,35.0
Data Scientist,Aidetic Software Pvt Ltd,Bengaluru,8 - 15,1,0,8 , 15,11.5
Assistant Manager - Data Scientist,Genpact,Bengaluru,6 - 9,0,1,6 , 9,7.5
Data Scientist,Code Craft Technologies,Bengaluru,6 - 9,0,1,6 , 9,7.5
DATA SCIENTIST,Tech27 Systems Ltd.,Calicut,4 - 10,0,1,4 , 10,7.0
Data Scientist (Large Private Bank),RiverForest Connections Private Limited,Bengaluru,4 - 9,0,1,4 , 9,6.5
"Tech Lead - NLP, Conversational AI",Reverie Language Technologies,Bengaluru,7 - 10,0,1,7 , 10,8.5
Data Scientist,Avantao Technologies pvt ltd,Hyderābād,8 - 13,1,0,8 , 13,10.5
Data and Analytics Engineer,Mercedes-Benz Research and Development India Private Limited,Bengaluru,7 - 10,0,1,7 , 10,8.5
Analytics – Data Science – Manager/Sr. Manager,Deloitte,Bengaluru,4 - 10,0,1,4 , 10,7.0
Data Scientist,PepsiCo,Hyderābād,8 - 9,0,1,8 , 9,8.5
Feasibility Data Scientist,ICON,Bengaluru,5 - 8,0,1,5 , 8,6.5
python data science internship,Orion Club,Eranakulam,0.05,1,0,0.05,0.05,0.05
AI/ML Engineer,Genrobotic Innovations,Thiruvananthapuram,0.25 - 0.4,1,0,0.25 , 0.4,0.325
Associate Data Scientist I,UST,Thiruvananthapuram,4,0,1,4,4,4
Data Scientist,Caterpillar,Chennai,7 - 9,0,1,7 , 9,8.0
AI/ML ENGINEER,Zcientia Labs Pvt Ltd,Bengaluru,15,1,0,15,15,15
Analytics – Data Science – Manager/Sr. Manager,Deloitte,Bengaluru,4 - 10,0,1,4 , 10,7.0
python data science internship,Orion Club,Eranakulam,0.05,1,0,0.05,0.05,0.05
Associate Data Scientist I,UST,Thiruvananthapuram,4,0,1,4,4,4
Data Science Trainer,Meraki Training Solutions,Bengaluru,20.6 - 24.23,1,0,20.6 , 24.23,22.415
Applied AI ML Lead - Lead Data Scientist,"JPMorgan Chase Bank, N.A.",Bengaluru,1 - 3,0,1,1 , 3,2.0
Data scientist/Sr. Data Scientist (Job Code - KR4),Credit Saison,Bengaluru,2 - 7,0,1,2 , 7,4.5
Data Scientist,GSN Solutions LLC (Pyx Tech Pvt Ltd),Pune,15 - 25,1,0,15 , 25,20.0
Data Science,Actyv.ai,Bengaluru,5 - 9,0,1,5 , 9,7.0
Data Scientist – (LLM/GPT),AIMLEAP,Bengaluru,20 - 30,1,0,20 , 30,25.0
Data Scientist,Shell,Bengaluru,8 - 9,0,1,8 , 9,8.5
Data Scientist,Magna International Inc.,Bengaluru,7 - 10,0,1,7 , 10,8.5
"Associate, Data Scientist, Consumer Banking & Core Engine",DBS Bank,Hyderābād,3 - 9,0,1,3 , 9,6.0
Data Science Intern,Domains Analytics,Chandigarh,0.08 - 0.23,1,0,0.08 , 0.23,0.155
Data Science,Larsen & Toubro Limited,Chennai,3 - 8,0,1,3 , 8,5.5
Machine Learning Internship,Suvidha Shiksha,Bengaluru,0.02,1,0,0.02,0.02,0.02
Data Science And Python Developer,Guires Solutions Private Limited,Chennai,3 - 5,1,0,3 , 5,4.0
Data Analyst,Waybeo Technology Solutions,Thiruvananthapuram,3 - 4,1,0,3 , 4,3.5
Data Scientist,Luxoft,Bengaluru,7 - 9,0,1,7 , 9,8.0
Data Scientist,GeniusMesh,Jammu,5 - 10,1,0,5 , 10,7.5
Analytics – Data Science – Manager/Sr. Manager,Deloitte,Bengaluru,4 - 10,0,1,4 , 10,7.0
"Associate, Data Scientist, Consumer Banking & Core Engine",DBS Bank,Hyderābād,3 - 9,0,1,3 , 9,6.0
Machine Learning Internship,Suvidha Shiksha,Bengaluru,0.02,1,0,0.02,0.02,0.02
Data Science Trainer,Meraki Training Solutions,Bengaluru,20.6 - 24.23,1,0,20.6 , 24.23,22.415
Data Scientist,Magna International Inc.,Bengaluru,7 - 10,0,1,7 , 10,8.5
Data Science,Larsen & Toubro Limited,Chennai,3 - 8,0,1,3 , 8,5.5
Data Scientist,GSN Solutions LLC (Pyx Tech Pvt Ltd),Pune,15 - 25,1,0,15 , 25,20.0
"Senior Associate, Data Scientist, Consumer Banking & Core Engine",DBS Bank,Hyderābād,3 - 9,0,1,3 , 9,6.0
Machine Learning Intern,Suvidha Foundation,Bengaluru,0.01 - 0.02,1,0,0.01 , 0.02,0.015
Data Scientist-Digital Banking Kotak 811-Regional Sales,Kotak Mahindra,Bengaluru,7 - 9,0,1,7 , 9,8.0
Analytics & Data Science,Kpro Solutions,Bengaluru,4 - 7,0,1,4 , 7,5.5
Data Scientist – (LLM/GPT),Outsource Bigdata,Bengaluru,20 - 30,1,0,20 , 30,25.0
Machine Learning Intern,PinnacleWorks Infotech,Gurgaon,0.15,1,0,0.15,0.15,0.15
Analytics Solutions - Vice President,"JPMorgan Chase Bank, N.A.",Bengaluru,5 - 7,0,1,5 , 7,6.0
Management Trainee - Data Scientist,Genpact,Gurgaon,5 - 8,0,1,5 , 8,6.5
Data Scientist,Franklin Templeton Investments,Hyderābād,4 - 6,0,1,4 , 6,5.0
Data Scientist,Easyjobs Recruitment,Eranakulam,20 - 35,1,0,20 , 35,27.5
Data Science with Python,L&D Edutech,Thāne,0.1 - 0.25,1,0,0.1 , 0.25,0.175
Data Scientist Associate II,"JPMorgan Chase Bank, N.A.",Mumbai,7 - 8,0,1,7 , 8,7.5
Trainee Conversion - Machine Learning Engineer,Mercedes-Benz Research and Development India Private Limited,Bengaluru,4 - 5,0,1,4 , 5,4.5
Data Science Intern,Domains Analytics,Chandigarh,0.08 - 0.23,1,0,0.08 , 0.23,0.155
AI-ML Engineer,Siemens,Bengaluru,8 - 10,0,1,8 , 10,9.0
Java NLP/NLP techniques URGENTLY LOOKING FOR NLP,MAHIRA RESOURCES PRIVATE LIMITED,Hyderābād,3 - 6,0,1,3 , 6,4.5
Data Analytics / Machine Learning Engineers,Tata Elxsi,Bengaluru,4 - 8,0,1,4 , 8,6.0
Junior Data Scientist,Risk Edge Solutions,Hyderābād,3 - 6,0,1,3 , 6,4.5
Machine Learning Internship,Suvidha Shiksha,Bengaluru,0.02,1,0,0.02,0.02,0.02
Data Science Trainer,Meraki Training Solutions,Bengaluru,20.6 - 24.23,1,0,20.6 , 24.23,22.415
"Senior Associate, Data Scientist, Consumer Banking & Core Engine",DBS Bank,Hyderābād,3 - 9,0,1,3 , 9,6.0
Machine Learning Intern,Suvidha Foundation,Bengaluru,0.01 - 0.02,1,0,0.01 , 0.02,0.015
Machine Learning Intern,PinnacleWorks Infotech,Gurgaon,0.15,1,0,0.15,0.15,0.15
Data Scientist,Easyjobs Recruitment,Eranakulam,20 - 35,1,0,20 , 35,27.5
Data Science with Python,L&D Edutech,Thāne,0.1 - 0.25,1,0,0.1 , 0.25,0.175
Data Scientist Associate II,"JPMorgan Chase Bank, N.A.",Mumbai,7 - 8,0,1,7 , 8,7.5
Trainee Conversion - Machine Learning Engineer,Mercedes-Benz Research and Development India Private Limited,Bengaluru,4 - 5,0,1,4 , 5,4.5
Data Science Intern,Domains Analytics,Chandigarh,0.08 - 0.23,1,0,0.08 , 0.23,0.155
