Title,Company,Experience,Location,Salary,Salary (L),min Salary (L),max Salary (L),avg salary (L),Experience (yrs),min Experience (yrs),max Experience (yrs),avg Experience (yrs)
Data Scientist,Tata Consultancy Services (TCS),4-8 Yrs,"Bangalore/ Bengaluru, Karnataka",5-14 Lacs PA,5-14 ,5,14 ,9.5,4-8 ,4,8 ,6.0
"Permanent Opportunity - Data Scientist(Snaplogic&Snowflake), Pan India",Deloitte,9-14 Yrs,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",18-30 Lacs PA,18-30 ,18,30 ,24.0,9-14 ,9,14 ,11.5
Data Scientist,Innominds Software,7-12 Yrs,"Hybrid - Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",14-24 Lacs PA,14-24 ,14,24 ,19.0,7-12 ,7,12 ,9.5
Data Scientist,IT Automation Llc,5-7 Yrs,Remote,12-20 Lacs PA,12-20 ,12,20 ,16.0,5-7 ,5,7 ,6.0
Data Scientist,Whizdm Innovations,2-5 Yrs,Remote,15-25 Lacs PA,15-25 ,15,25 ,20.0,2-5 ,2,5 ,3.5
Data Scientist,Headhunter,4-9 Yrs,Remote,15-30 Lacs PA,15-30 ,15,30 ,22.5,4-9 ,4,9 ,6.5
Data Scientist,Tata Consultancy Services (TCS),7-12 Yrs,Delhi / NCR,50000-3 Lacs PA,0.5-3 ,0.5,3 ,1.75,7-12 ,7,12 ,9.5
Data Scientist,Aujla Business Software,4-8 Yrs,Panaji/Panjim,40-50 Lacs PA,40-50 ,40,50 ,45.0,4-8 ,4,8 ,6.0
Data Scientist (Demand Planning & Prediction),Crofarm,3-7 Yrs,Gurgaon/Gurugram,20-25 Lacs PA,20-25 ,20,25 ,22.5,3-7 ,3,7 ,5.0
Data Scientist,Easy Data Analytics,4-6 Yrs,"Bangalore/ Bengaluru, Karnataka",6-15 Lacs PA,6-15 ,6,15 ,10.5,4-6 ,4,6 ,5.0
Data Scientist,Ontrack Hr Services,10-20 Yrs,Hybrid - Bangalore/Bengaluru,8-18 Lacs PA,8-18 ,8,18 ,13.0,10-20 ,10,20 ,15.0
AWS Data Scientist - Remote - 30 Lakhs,DataBuzz Ltd,4-9 Yrs,Hyderabad/Secunderabad,20-35 Lacs PA,20-35 ,20,35 ,27.5,4-9 ,4,9 ,6.5
Data scientist - Gurgaon - Python / Machine Learning (BIG DATA),Industrial Personnel Network,3-7 Yrs,Gurgaon/Gurugram,14-24 Lacs PA,14-24 ,14,24 ,19.0,3-7 ,3,7 ,5.0
Data Scientist,Adler Talent Solutions,2-4 Yrs,"Ahmedabad, Gujarat",6-8 Lacs PA,6-8 ,6,8 ,7.0,2-4 ,2,4 ,3.0
Hiring For Data Scientist and Data Engineer For Gurgaon Location,Shadow Placements,5-10 Yrs,"Noida, Gurgaon/Gurugram, Delhi / NCR",7-14 Lacs PA,7-14 ,7,14 ,10.5,5-10 ,5,10 ,7.5
Data Scientist,RK Hr Management,2-7 Yrs,Ahmedabad,13-22.5 Lacs PA,13-22.5 ,13,22.5 ,17.75,2-7 ,2,7 ,4.5
Data Scientist Goregaon Mumbai Candidates preferred immediate joiners,Quick Manpower Solutions India,3-8 Yrs,"Mumbai, Maharashtra",15-30 Lacs PA,15-30 ,15,30 ,22.5,3-8 ,3,8 ,5.5
