Title,Company,Location,Salary
Data Scientist,RedBus,Bengaluru,₹50L (Employer Est.)
Data Scientist - Python,Reqroots,Tiruchchirāppalli,₹40T - ₹70T (Employer Est.)
"Data Scientist, Product Analytics",PayPal,Chennai,₹2L - ₹3L (Glassdoor Est.)
Data Scientist,DataBuzz Ltd,Hyderābād,₹40L (Employer Est.)
Data Scientist,Perfios,Bengaluru,₹2L - ₹8L (Glassdoor Est.)
Data Analyst & Scientist,Siemens Gamesa Renewable Energy,Bengaluru,₹5L - ₹9L (Glassdoor Est.)
Data Scientist,RamSoft,Bengaluru,₹6L - ₹9L (Glassdoor Est.)
ML Engineer,SBCS India,Bengaluru,₹4L - ₹6L (Glassdoor Est.)
Data Scientist (AaaS),SS Supply Chain Solutions,Bengaluru,₹20L - ₹35L (Employer Est.)
Data Scientist,Infosys,Bengaluru,₹4L - ₹9L (Glassdoor Est.)
Data Science - Data Scientist,Paytm,New Delhi,₹2L - ₹3L (Glassdoor Est.)
Artificial Intelligence,AVNI IT Services,Chennai,₹20T - ₹30T (Employer Est.)
Data Scientist - Engineer,Mercedes-Benz Research and Development India Private Limited,Bengaluru,₹8L - ₹9L (Glassdoor Est.)
Advisory-Management-P Data Scientist,KPMG,Gurgaon,₹7L - ₹10L (Glassdoor Est.)
Data Science,Infosys,Bengaluru,₹4L - ₹9L (Glassdoor Est.)
Junior Data Scientist/,WSD Consultant,Bengaluru,₹5L - ₹9L (Glassdoor Est.)
Data Science Intern,Wahy Lab Solutions,Cochin,₹10T - ₹15T (Employer Est.)
Data Scientist,Mercedes-Benz Research and Development India Private Limited,Bengaluru,₹8L - ₹9L (Glassdoor Est.)
AI-ML Engineer,Larsen & Toubro Limited,Vadodara,₹8L - ₹12L (Employer Est.)
Data Scientist,"BSRI Solutions Pvt Ltd.,",Chennai,₹8L - ₹15L (Employer Est.)
ML Engineer,Pridemate Marketing Pvt Ltd,Bengaluru,₹9L - ₹16L (Employer Est.)
Data Scientist,Fortive Corporate,Bengaluru,₹4L - ₹9L (Glassdoor Est.)
AWS Data Scientist - Remote - 30 Lakhs,DataBuzz Ltd,Hyderābād,₹25L (Employer Est.)
Associate Data Science,"Definitive Healthcare, India",Bengaluru,₹4L - ₹7L (Glassdoor Est.)
Data Scientist,SS Supply Chain Solutions,Pune,₹10L - ₹35L (Employer Est.)
Data Scientist,Harman International,Bengaluru,₹4L - ₹8L (Glassdoor Est.)
Data Scientist - Intern,Pivotchain Solution Technologies Pvt. Ltd.,Pune,₹15T - ₹20T (Employer Est.)
Data Scientist,ArcVision Technologies,Calcutta,₹3L (Employer Est.)
Data Science,EY,Bengaluru,₹7L - ₹10L (Glassdoor Est.)
Lead Data Scientist,Société Générale,Bengaluru,₹10L (Glassdoor Est.)
Data Scientist,Invincible Ocean Private Limited,Gurgaon,₹4L - ₹6L (Employer Est.)
Data Scientist,PayU,Bengaluru,₹5L - ₹7L (Glassdoor Est.)
Data Scientist,CoRover,Bengaluru,₹4L - ₹9L (Glassdoor Est.)
Data Scientist,Thoucentric,Bengaluru,₹8L - ₹9L (Glassdoor Est.)
Data Scientist,Cyient,Bengaluru,₹4L - ₹8L (Glassdoor Est.)
Associate/Senior Associate - Data Science,Larsen & Toubro Limited,Chennai,₹8L - ₹15L (Employer Est.)
Data Scientist,Clarifai,Bengaluru,₹6L - ₹9L (Glassdoor Est.)
Data Science Intern,LeadsRank LLP,Chandigarh,₹8T - ₹23T (Employer Est.)
Data Science Engineer (0 - 1 Year Experience),Think201,Bengaluru,₹3L - ₹5L (Employer Est.)
Data Scientist,Ericsson,Bengaluru,₹4L - ₹8L (Glassdoor Est.)
Data Scientist,Draup,Bengaluru,₹6L - ₹8L (Glassdoor Est.)
Data Scientist/ Analyst - T9,Mercedes-Benz Research and Development India Private Limited,Bengaluru,₹8L - ₹9L (Glassdoor Est.)
Data Scientist,BTOSC INFOTECH PRIVATE LIMITED,Noida,₹60T - ₹1L (Employer Est.)
Staff Data Scientist - NLP,Visa,Bengaluru,₹3L - ₹4L (Glassdoor Est.)
Marketing Data Scientist,PayPal,Chennai,₹2L - ₹3L (Glassdoor Est.)
AI / ML Engineer,Chiplogic Technologies,Bengaluru,₹4L - ₹6L (Glassdoor Est.)
Data Scientist,Cogneesol BPO,Pune,₹5L - ₹9L (Glassdoor Est.)
Data Science,Globussoft Technologies,Bengaluru,₹4L (Employer Est.)
Data Scientist – (LLM/GPT),FullStackTechies,Bengaluru,₹20L - ₹30L (Employer Est.)
Data Scientist,Ford Motor Company,Chennai,₹8L - ₹9L (Glassdoor Est.)
Data Scientist,vlitechnologies,Chennai,₹8L (Employer Est.)
Data Scientist,BTOSC INFOTECH PRIVATE LIMITED,Noida,₹60T - ₹1L (Employer Est.)
AI / ML Engineer,Chiplogic Technologies,Bengaluru,₹4L - ₹6L (Glassdoor Est.)
Data Scientist – (LLM/GPT),FullStackTechies,Bengaluru,₹20L - ₹30L (Employer Est.)
Data Scientist,vlitechnologies,Chennai,₹8L (Employer Est.)
Vacancy for Data Scientist,Serendipity Corporate Services,Pune,₹30L (Employer Est.)
"Senior Data Scientist ( Only for Immediately Joiner, WFH)",DXC Technology,Bengaluru,₹30L - ₹40L (Employer Est.)
