Title,Company,Experience,Location,Salary
Looking For NLP/Deep Learning Data Scientist For Evalueserve,Evalueserve,7-10 Yrs,"Hybrid - Gurgaon/ Gurugram, Haryana, Bangalore/ Bengaluru, Karnataka",Not disclosed
Lead Data Scientist - Python/Machine Learning,OptOut.Work,6-10 Yrs,Bangalore/Bengaluru,Not disclosed
"Data Scientist, Data Engineering",True Influence,2-3 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist,Megma Services,1-4 Yrs,"Mumbai, Bangalore/Bengaluru",Not disclosed
Data Scientist,PaddleLift Pvt Ltd,4-7 Yrs,"Bangalore/Bengaluru, HSR Layout",Not disclosed
Data Scientist (Manager I) Fraud & Credit Risk - Decision Science,Fiserv,10-15 Yrs,Thane,Not disclosed
Data Scientist,Ford,2-6 Yrs,Chennai,Not disclosed
Looking For Data Scientist (Finance Background) For Evalueserve,Evalueserve,3-7 Yrs,"Hybrid - Gurgaon/ Gurugram, Haryana",Not disclosed
Hiring For Data Scientist,Infogain,4-9 Yrs,Remote,Not disclosed
Data Scientist-4,Turing,4-6 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Not disclosed
Product Data Scientist,Turing,5-8 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Not disclosed
Data Scientist,High Peak Software,3-5 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist,Customerxps Software,12-22 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist ll,Sequoia Consulting Group,3-7 Yrs,Hybrid - Bangalore/Bengaluru,Not disclosed
Data Scientist,Tata Consultancy Services (TCS),4-8 Yrs,"Bangalore/ Bengaluru, Karnataka",5-14 Lacs PA
Data Scientist,Walmart,4-6 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist,Randstad,5-10 Yrs,"Hybrid - Bangalore/ Bengaluru, Karnataka",Not disclosed
Feasibility Data Scientist,ICON plc,6-11 Yrs,Remote,Not disclosed
Capacity and Performance Data Scientist,Motorola Solutions Kodiak Networks,5-7 Yrs,"Hybrid - Bangalore/ Bengaluru, Karnataka",Not disclosed
Senior Data Scientist - Machine Learning & Predictive Modeling,HyrEzy Talent Solution,10-15 Yrs,Pune,Not disclosed
Senior Scientist/NLP/Machine Learning/Data Mining Professional,Career Maker,2-7 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist,Collabera,7-12 Yrs,"Bangalore/ Bengaluru, Karnataka",Not disclosed
Data Scientist,T Systems,5-10 Yrs,"Pune, Maharashtra",Not disclosed
Data Scientist,Superior Electric Machines,4-5 Yrs,Gurgaon/Gurugram,Not disclosed
Data Scientist,Kay Bouvet Engineering,4-5 Yrs,Hyderabad/Secunderabad,Not disclosed
Data Scientist I,TVS Motor,2-6 Yrs,Hosur,Not disclosed
Data Scientist,Tenacitics,4-8 Yrs,Chennai,Not disclosed
Data Scientist,Sapwood Ventures,5-10 Yrs,"Chennai, Tamil Nadu",Not disclosed
Advisory-Management-P Data Scientist,KPMG,2-5 Yrs,Gurgaon/Gurugram,Not disclosed
Supplychain Data Scientist,Mondelez,5-11 Yrs,Mumbai,Not disclosed
Data Scientist,Franklin Templeton,2-5 Yrs,"Hybrid - Hyderabad/ Secunderabad, Telangana, Chennai, Tamil Nadu, Mumbai (All Areas)",Not disclosed
"Permanent Opportunity - Data Scientist(Snaplogic&Snowflake), Pan India",Deloitte,9-14 Yrs,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",18-30 Lacs PA
Data Scientist,IBS Software Services,3-8 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Not disclosed
Data Scientist,Innominds Software,7-12 Yrs,"Hybrid - Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",14-24 Lacs PA
Data Scientist,IT Automation Llc,5-7 Yrs,Remote,12-20 Lacs PA
Data Scientist,Ericsson,5-7 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist,Ericsson,3-7 Yrs,Bangalore/Bengaluru,Not disclosed
Hiring For Data Scientist,Tata Consultancy Services (TCS),4-9 Yrs,"Hybrid - Hyderabad/ Secunderabad, Telangana, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka",Not disclosed
Data Scientist,Cognizant,4-9 Yrs,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Not disclosed
Data Scientist,Whizdm Innovations,2-5 Yrs,Remote,15-25 Lacs PA
Data Scientist,Shell,5-9 Yrs,"Chennai, Bangalore/Bengaluru",Not disclosed
Data Scientist,Arcadix,3-7 Yrs,Remote,Not disclosed
Data Scientist,Amethyst Partners,2-7 Yrs,Gurgaon/Gurugram,Not disclosed
Data Scientist,Headhunter,4-9 Yrs,Remote,15-30 Lacs PA
Opportunity | Data Scientist - NLP | Tavant India,Tavant Technologies,6-11 Yrs,"Noida, Kolkata, Hyderabad/Secunderabad, Bangalore/Bengaluru",Not disclosed
Data Scientist,Intel,4-6 Yrs,Remote,Not disclosed
Lead Data Scientist - Python / Machine Learning,OptOut.Work,6-10 Yrs,Bangalore/Bengaluru,Not disclosed
Java Data Scientist - Machine Learning Algorithms,Zorba Consulting India,2-5 Yrs,"Kolkata, Mumbai, Hyderabad/Secunderabad, Lucknow, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru",Not disclosed
